file	line	reason	reference
android/app/build.gradle.kts	14	既存署名・QA環境変数/端末名の互換読込	"?: System.getenv(""MUSCLEMORY_SIGNING_PROPERTIES"") // Existing private build environments."
android/app/src/main/AndroidManifest.xml	40	旧callback/招待QRの移行期間互換	"<data android:scheme=""musclemory"" android:host=""login-callback"" />"
android/app/src/main/kotlin/com/setkeep/app/RestTimerFeedback.kt	40	既存通知チャンネル設定の互換参照	"val previous = manager.getNotificationChannel(""musclemory_rest_timer_sound_v3"")"
android/app/src/main/kotlin/com/setkeep/app/RestTimerFeedback.kt	41	既存通知チャンネル設定の互換参照	"?: manager.getNotificationChannel(""musclemory_rest_timer_sound_v2"")"
android/app/src/main/kotlin/com/setkeep/app/WorkoutNotificationState.kt	13	永続化済み通知アクション状態キーを保持	"private const val ACTION = ""musclemory.lock_action"""
android/app/src/main/kotlin/com/setkeep/app/WorkoutNotificationState.kt	14	永続化済み通知アクション状態キーを保持	"private const val LAST_ACTION_AT = ""musclemory.last_set_action_at"""
art/body_tab/asset_report.json	2	過去QA・生成記録の実際の識別子/パスを保持	"""source"": ""/Users/macintosh/Documents/Codex/muscle_memory/art/body_tab/body_tab.blend"","
docs/beta/distribution.md	15	過去配布ファイル名とビルド実績を保持（現行手順は移行資料を参照）	ファイル: `MUSCLEMORY-beta5-1.0.0-5.apk`。
docs/beta/distribution.md	24	過去配布ファイル名とビルド実績を保持（現行手順は移行資料を参照）	ファイル: `MUSCLEMORY-beta4-1.0.0-4.apk`。ホーム・体重最新行・3Dカメラ復帰・休憩音とストップ・クラウド領域の整理を反映。
docs/beta/distribution.md	32	過去配布ファイル名とビルド実績を保持（現行手順は移行資料を参照）	# MUSCLEMORY ベータ1（1.0.0 / ビルド2）
docs/beta/distribution.md	80	過去配布ファイル名とビルド実績を保持（現行手順は移行資料を参照）	- iOS physical-device release build succeeded WITHOUT signing. Bundle ID `com.musclememory.muscleMemory`, version `1.0.0`, build `2`. No signed IPA, physical installation or TestFlight upload yet.
docs/qa/android_live_rest_set_2026-09-24.md	46	過去QA・生成記録の実際の識別子/パスを保持	- `android/app/src/main/kotlin/com/musclememory/muscle_memory/MainActivity.kt`
docs/qa/android_live_rest_set_2026-09-24.md	47	過去QA・生成記録の実際の識別子/パスを保持	- `android/app/src/main/kotlin/com/musclememory/muscle_memory/RestTimerState.kt`
docs/qa/android_live_rest_set_2026-09-24.md	48	過去QA・生成記録の実際の識別子/パスを保持	- `android/app/src/main/kotlin/com/musclememory/muscle_memory/RestTimerReceiver.kt`
docs/qa/android_live_rest_set_2026-09-24.md	49	過去QA・生成記録の実際の識別子/パスを保持	- `android/app/src/main/kotlin/com/musclememory/muscle_memory/WorkoutNotificationState.kt`
docs/qa/android_rest_notification_ui_2026-09-24.md	63	過去QA・生成記録の実際の識別子/パスを保持	- android/app/src/main/kotlin/com/musclememory/muscle_memory/MainActivity.kt
